id,created_at,updated_at,street_id,city_id,street_kladr,street_type_id,street_type_full,street_type_short,name
434,2020-09-03T10:26:20.338Z,2020-09-03T10:26:20.338Z,7,1,200000000007,6,улица,ул.,Казыбек би
1025,2020-09-03T10:26:20.446Z,2020-09-03T10:26:20.446Z,287,1,200000000287,6,улица,ул.,Каирбекова
1951,2022-11-15T12:51:32.839356Z,2022-11-15T12:51:32.838977Z,10646,1,200000010646,13,микрорайон,мкр.,Кайрат
1938,2022-11-15T12:51:28.806864Z,2022-11-15T12:51:28.806414Z,9966,1,200000009966,13,микрорайон,мкр.,"Кайрат, улица Сарыарка"
1030,2020-09-03T10:26:20.446Z,2020-09-03T10:26:20.446Z,292,1,200000000292,6,улица,ул.,Калдаякова
3333,2024-12-30T17:45:55.932241Z,2024-12-30T17:45:55.931679Z,51362,1,200000051362,13,микрорайон,мкр.,"Калкама-2, ул. Алдана Айымбетова"
386,2020-09-03T10:26:20.338Z,2020-09-03T10:26:20.338Z,7803,1,200000007803,13,микрорайон,мкр.,Калкаман
2039,2023-08-31T12:42:28.368687Z,2023-08-31T12:42:28.368347Z,50072,1,200000050072,13,микрорайон,мкр.,Калкаман-2
3350,2024-12-30T18:06:45.073177Z,2024-12-30T18:06:45.072912Z,51379,1,200000051379,13,микрорайон,мкр.,"Калкаман-2, пер. Комсомольский"
3330,2024-12-30T17:41:31.071273Z,2024-12-30T17:41:31.070891Z,51359,1,200000051359,13,микрорайон,мкр.,"Калкаман-2, ул. Абдразака Елибаева"
3338,2024-12-30T17:51:39.338302Z,2024-12-30T17:51:39.338140Z,51367,1,200000051367,13,микрорайон,мкр.,"Калкаман-2, ул. Абишева"
3308,2024-12-30T17:01:54.136782Z,2024-12-30T17:01:54.136399Z,51337,1,200000051337,13,микрорайон,мкр.,"Калкаман-2, ул. Айбергенова"
3311,2024-12-30T17:10:32.466302Z,2024-12-30T17:10:32.466064Z,51340,1,200000051340,13,микрорайон,мкр.,"Калкаман-2, ул. Айтбаева"
3300,2024-12-30T16:30:37.978216Z,2024-12-30T16:30:37.977967Z,51329,1,200000051329,13,микрорайон,мкр.,"Калкаман-2, ул. Айтей Батыра"
3332,2024-12-30T17:44:43.723675Z,2024-12-30T17:44:43.723366Z,51361,1,200000051361,13,микрорайон,мкр.,"Калкаман-2, ул. Актамберды Жырау"
3334,2024-12-30T17:47:46.787323Z,2024-12-30T17:47:46.787130Z,51363,1,200000051363,13,микрорайон,мкр.,"Калкаман-2, ул. Ануара Молдабекова"
3301,2024-12-30T16:33:33.179392Z,2024-12-30T16:33:33.178337Z,51330,1,200000051330,13,микрорайон,мкр.,"Калкаман-2, ул. Аспандиярова"
3302,2024-12-30T16:36:47.566336Z,2024-12-30T16:36:47.566044Z,51331,1,200000051331,13,микрорайон,мкр.,"Калкаман-2, ул. Аубакира Тыныбаева"
3357,2024-12-30T18:13:23.369121Z,2024-12-30T18:13:23.368850Z,51386,1,200000051386,13,микрорайон,мкр.,"Калкаман-2, ул. Базарбай Жуманиязова"
3317,2024-12-30T17:21:24.822726Z,2024-12-30T17:21:24.821470Z,51346,1,200000051346,13,микрорайон,мкр.,"Калкаман-2, ул. Байзак батыра"
3319,2024-12-30T17:26:01.813210Z,2024-12-30T17:26:01.812911Z,51348,1,200000051348,13,микрорайон,мкр.,"Калкаман-2, ул. Байкена Ашимова"
3337,2024-12-30T17:50:35.029047Z,2024-12-30T17:50:35.028817Z,51366,1,200000051366,13,микрорайон,мкр.,"Калкаман-2, ул. Бекежанова"
3321,2024-12-30T17:27:59.335185Z,2024-12-30T17:27:59.334914Z,51350,1,200000051350,13,микрорайон,мкр.,"Калкаман-2, ул. Ер Жанибека"
3340,2024-12-30T17:53:56.002879Z,2024-12-30T17:53:56.002391Z,51369,1,200000051369,13,микрорайон,мкр.,"Калкаман-2, ул. Жакана Аханова"
3313,2024-12-30T17:12:34.395404Z,2024-12-30T17:12:34.394939Z,51342,1,200000051342,13,микрорайон,мкр.,"Калкаман-2, ул. Ибрая Жакаева"
3339,2024-12-30T17:52:46.026754Z,2024-12-30T17:52:46.026436Z,51368,1,200000051368,13,микрорайон,мкр.,"Калкаман-2, ул. Кабылбаева"
3342,2024-12-30T17:55:53.792001Z,2024-12-30T17:55:53.791779Z,51371,1,200000051371,13,микрорайон,мкр.,"Калкаман-2, ул. Казыбекова"
3343,2024-12-30T17:58:09.697167Z,2024-12-30T17:58:09.696882Z,51372,1,200000051372,13,микрорайон,мкр.,"Калкаман-2, ул. Калауша Бегалиева"
3303,2024-12-30T16:40:45.513783Z,2024-12-30T16:40:45.513525Z,51332,1,200000051332,13,микрорайон,мкр.,"Калкаман-2, ул. Камала Смайылова "
3304,2024-12-30T16:45:25.560157Z,2024-12-30T16:45:25.559720Z,51333,1,200000051333,13,микрорайон,мкр.,"Калкаман-2, ул. Косынова"
3341,2024-12-30T17:55:28.822732Z,2024-12-30T17:55:28.822477Z,51370,1,200000051370,13,микрорайон,мкр.,"Калкаман-2, ул. Кошке Кеменгерулы"
3358,2024-12-30T18:23:22.256246Z,2024-12-30T18:23:22.256024Z,51387,1,200000051387,13,микрорайон,мкр.,"Калкаман-2, ул. Латифа Кыдырбекова"
3344,2024-12-30T17:59:00.081678Z,2024-12-30T17:59:00.081372Z,51373,1,200000051373,13,микрорайон,мкр.,"Калкаман-2, ул. Мансура Сагатова"
3346,2024-12-30T18:00:31.416843Z,2024-12-30T18:00:31.416576Z,51375,1,200000051375,13,микрорайон,мкр.,"Калкаман-2, ул. Мариям Хакимжановой"
3322,2024-12-30T17:30:14.145883Z,2024-12-30T17:30:14.145580Z,51351,1,200000051351,13,микрорайон,мкр.,"Калкаман-2, ул. Меиржана Машана"
3306,2024-12-30T16:52:59.668736Z,2024-12-30T16:52:59.668508Z,51335,1,200000051335,13,микрорайон,мкр.,"Калкаман-2, ул. Нагымбека Нурмухамедова"
3309,2024-12-30T17:02:44.443596Z,2024-12-30T17:02:44.443414Z,51338,1,200000051338,13,микрорайон,мкр.,"Калкаман-2, ул. Нурпеисова"
3325,2024-12-30T17:35:03.316216Z,2024-12-30T17:35:03.315889Z,51354,1,200000051354,13,микрорайон,мкр.,"Калкаман-2, ул. Райымбека Сейтметова"
3345,2024-12-30T18:00:31.162723Z,2024-12-30T18:00:31.162470Z,51374,1,200000051374,13,микрорайон,мкр.,"Калкаман-2, ул. Сатай Батыра"
3347,2024-12-30T18:01:39.054367Z,2024-12-30T18:01:39.054083Z,51376,1,200000051376,13,микрорайон,мкр.,"Калкаман-2, ул. Саурык Батыра"
3310,2024-12-30T17:07:50.071083Z,2024-12-30T17:07:50.070822Z,51339,1,200000051339,13,микрорайон,мкр.,"Калкаман-2, ул. Серали Лапина"
3316,2024-12-30T17:18:35.049204Z,2024-12-30T17:18:35.048901Z,51345,1,200000051345,13,микрорайон,мкр.,"Калкаман-2, ул. Сураншы Батыра"
3348,2024-12-30T18:04:29.207920Z,2024-12-30T18:04:29.207654Z,51377,1,200000051377,13,микрорайон,мкр.,"Калкаман-2, ул. Сыпатай батыра"
3312,2024-12-30T17:12:01.374255Z,2024-12-30T17:12:01.374043Z,51341,1,200000051341,13,микрорайон,мкр.,"Калкаман-2, ул. Тайторы батыра"
3327,2024-12-30T17:36:56.115339Z,2024-12-30T17:36:56.115130Z,51356,1,200000051356,13,микрорайон,мкр.,"Калкаман-2, ул. Токсына Кулыбекова"
3359,2024-12-30T18:26:40.242220Z,2024-12-30T18:26:40.241921Z,51388,1,200000051388,13,микрорайон,мкр.,"Калкаман-2, ул. Толе би"
3335,2024-12-30T17:47:54.661515Z,2024-12-30T17:47:54.661177Z,51364,1,200000051364,13,микрорайон,мкр.,"Калкаман, ул. Бакира Тажибаева"
3336,2024-12-30T17:49:49.728201Z,2024-12-30T17:49:49.727961Z,51365,1,200000051365,13,микрорайон,мкр.,"Калкаман, ул. Жанатая Шарденова"
3307,2024-12-30T16:57:55.339865Z,2024-12-30T16:57:55.339612Z,51336,1,200000051336,13,микрорайон,мкр.,"Калкаман, ул. Жуалы"
3329,2024-12-30T17:39:03.298721Z,2024-12-30T17:39:03.298458Z,51358,1,200000051358,13,микрорайон,мкр.,"Калкаман, ул. Толе би"
3483,2025-01-31T10:26:35.661093Z,2025-01-31T10:26:35.660773Z,51512,1,200000051512,6,улица,ул.,Каракемер
435,2020-09-03T10:26:20.338Z,2020-09-03T10:26:20.338Z,8,1,200000000008,6,улица,ул.,Карасай батыра
1954,2022-11-15T12:51:33.037889Z,2022-11-15T12:51:33.037565Z,10466,1,200000010466,13,микрорайон,мкр.,"Каргалы, ул. Егора Редько"
