street_id,street_name,house,sub_house,is_available,full_address,latitude,longitude,gis_full_name,provider
236,проспект Абылай Хана,96,,1,"Алматы г., проспект Абылай Хана, 96",43.248067,76.943009,"Алматы, проспект Абылай хана, 96 / улица Жамбыла, 96/59",beeline
210,улица Айманова,101,,1,"Алматы г., улица Айманова, 101",43.240461,76.895767,"Алматы, улица Айманова, 101",beeline
210,улица Айманова,103,,1,"Алматы г., улица Айманова, 103",43.240064,76.895819,"Алматы, улица Айманова, 103",beeline
210,улица Айманова,140б1,,1,"Алматы г., улица Айманова, 140б1",43.235439,76.898335,"Алматы, Арай, жилой комплекс",beeline
210,улица Айманова,140б3,,1,"Алматы г., улица Айманова, 140б3",43.235739,76.897819,"Алматы, Арай, жилой комплекс",beeline
210,улица Айманова,140б4,,1,"Алматы г., улица Айманова, 140б4",43.236021,76.897779,"Алматы, Арай, жилой комплекс",beeline
404,микрорайон Айнабулак 3,113,,1,"Алматы г., микрорайон Айнабулак 3, 113",43.322889,76.920261,"Алматы, микрорайон Айнабулак 3, 113",beeline
210,улица Айманова,140б5,,1,"Алматы г., улица Айманова, 140б5",43.236486,76.89772,"Алматы, Арай, жилой комплекс",beeline
210,улица Айманова,140б7,,1,"Алматы г., улица Айманова, 140б7",43.236874,76.898159,"Алматы, Арай, жилой комплекс",beeline
210,улица Айманова,145,,1,"Алматы г., улица Айманова, 145",43.233103,76.897586,"Алматы, улица Айманова, 145",beeline
210,улица Айманова,149,,1,"Алматы г., улица Айманова, 149",43.232248,76.89691,"Алматы, улица Айманова, 149",beeline
210,улица Айманова,170,,1,"Алматы г., улица Айманова, 170",43.233136,76.898053,"Алматы, улица Айманова, 170",beeline
210,улица Айманова,172,,1,"Алматы г., улица Айманова, 172",43.232419,76.898148,"Алматы, улица Айманова, 172",beeline
210,улица Айманова,193,,1,"Алматы г., улица Айманова, 193",43.228591,76.89759,"Алматы, улица Айманова, 193",beeline
210,улица Айманова,193б,,1,"Алматы г., улица Айманова, 193б",43.226875,76.89758,"Алматы, улица Айманова, 193Б",beeline
210,улица Айманова,193в,,1,"Алматы г., улица Айманова, 193в",43.226486,76.89763,"Алматы, улица Айманова, 193в",beeline
210,улица Айманова,140б6,,1,"Алматы г., улица Айманова, 140б6",43.236757,76.897766,"Алматы, Арай, жилой комплекс",beeline
290,улица Абдуллиных,8,,1,"Алматы г., улица Абдуллиных, 8",43.263632,76.959588,"Алматы, улица Ришата и Муслима Абдуллиных, 8",beeline
404,микрорайон Айнабулак 3,114,,1,"Алматы г., микрорайон Айнабулак 3, 114",43.323232,76.920472,"Алматы, микрорайон Айнабулак 3, 114",beeline
