"consumer_id";"devices_count";"frequency";"recency";"monetary"
12514168;2;"85.0";"2.0";"2460.0595238133333"
12514177;2;"61.0";"3.25";"1873.21428572"
12514178;2;"78.75";"2.0";"4318.75892858"
12514198;1;"17.0";"14.0";"1873.22321429"
12514212;1;"89.5";"2.0";"2697.42063482"
12514239;1;"20.5";"2.0";"1873.22321429"
12514243;2;"40.0";"6.0";"1873.21428572"
12514253;1;"87.0";"2.0";"1873.22321429"
12514255;2;"11.5";"6.25";"2321.42857142"
12514269;2;"55.75";"4.0";"1873.21428572"
12514281;2;"75.75";"10.75";"2321.42857142"
12514285;2;"81.0";"2.0";"2019.047619053333"
12514328;2;"75.5";"2.25";"2321.42857142"
12514330;1;"85.0";"2.5";"2321.42857142"
12514368;2;"51.0";"2.25";"2321.42857142"
12514416;1;"12.5";"63.5";"1873.22321429"
12514432;2;"42.25";"5.0";"2321.42857142"
12514467;3;"83.5";"2.5";"2809.82142858"
12514471;2;"86.5";"2.0";"2678.57142858"
12514477;2;"30.75";"16.5";"1873.21428572"
12514480;2;"26.0";"3.5";"1873.21428572"
12514481;1;"60.5";"3.5";"1873.22321429"
12514503;2;"70.0";"2.5";"1873.21428572"
12514504;2;"83.25";"2.5";"2138.0952381"
12514514;1;"78.5";"3.0";"936.60714286"
12514517;2;"9.75";"44.25";"1873.21428572"
12514519;2;"31.5";"30.25";"1873.21428572"
12514527;1;"74.5";"3.5";"2376.1994047666667"
12514539;2;"86.75";"2.0";"2627.9761904700003"
12514544;1;"32.5";"16.5";"4801.7857142933335"
12514557;2;"83.5";"2.25";"10285.136904776666"
12514561;2;"1.75";"42.5";"1873.21428572"
12514566;2;"41.5";"6.25";"1873.21428572"
12514568;2;"62.75";"6.0";"2678.57142858"
12514570;2;"70.5";"4.25";"2344.990079456667"
12514610;1;"3.0";"54.0";"648.2678571399999"
12514620;1;"74.5";"3.0";"1873.22321429"
12514630;2;"10.0";"40.0";"1873.21428572"
12514659;2;"80.25";"2.25";"4660.714285720001"
12514663;2;"32.75";"37.0";"1897.0327381"
12514682;2;"68.25";"4.0";"1873.21428572"
12514692;4;"85.375";"2.0";"4642.85714284"
12514693;1;"75.0";"2.0";"2678.57142858"
12514706;2;"59.0";"2.0";"2789.880952386667"
12514729;1;"69.0";"2.5";"2678.57142858"
12514739;1;"5.0";"44.5";"2678.57142857"
12514747;2;"85.5";"2.25";"2857.1428571400006"
12514760;2;"67.25";"2.5";"1873.21428572"
12514779;1;"39.5";"13.0";"2634.970238096667"
12514782;1;"64.5";"4.0";"1873.22321429"
12514783;2;"43.5";"3.5";"1873.21428572"
12514799;2;"59.75";"2.5";"1873.21428572"
12514802;2;"2.75";"27.0";"1873.21428572"
12514803;1;"84.5";"2.5";"2619.04761905"
12514813;2;"55.0";"3.75";"2138.0952381"
12514815;2;"52.5";"2.75";"1873.21428572"
12514827;2;"70.75";"3.0";"2678.57142858"
12514828;2;"8.25";"6.0";"1873.21428572"
12514834;2;"77.75";"2.0";"2678.57142858"
12514838;2;"85.0";"2.0";"1873.21428572"
12514851;2;"60.75";"4.5";"1873.21428572"
12514879;1;"80.0";"7.5";"3287.450396433333"
12514891;2;"34.0";"3.0";"2321.42857142"
12514911;2;"19.25";"3.0";"1873.21428572"
12514921;2;"88.75";"2.0";"2321.42857142"
12514933;2;"38.25";"5.75";"2321.42857142"
12514935;2;"10.75";"2.5";"2321.42857142"
12514956;1;"88.5";"2.0";"2321.42857143"
12514986;1;"79.0";"2.0";"2678.57142857"
12514997;1;"86.5";"2.0";"2271.50595238"
12515008;1;"67.0";"6.0";"1873.22321429"
12515021;1;"65.5";"5.0";"2678.57142857"
12515023;2;"19.0";"3.5";"1873.21428572"
12515025;2;"73.75";"2.0";"2321.42857142"
12515029;1;"66.0";"2.0";"2321.42857142"
12515039;2;"68.75";"2.0";"2678.57142858"
12515041;1;"47.0";"33.0";"2691.8452380933336"
12515043;2;"64.75";"6.5";"1873.21428572"
12515045;1;"52.0";"2.0";"2678.57142858"
12515058;1;"36.5";"8.5";"1873.22321429"
12515062;2;"48.25";"2.0";"1873.21428572"
12515072;2;"86.0";"2.75";"2321.42857142"
12515078;1;"90.0";"2.0";"2678.57142858"
12515088;2;"80.25";"2.0";"3383.928571436667"
12515098;2;"77.5";"2.0";"2321.42857142"
12515103;2;"46.5";"2.0";"2551.78571429"
12515113;1;"26.5";"33.5";"1650.0"
12515114;1;"6.0";"43.5";"1873.22321429"
12515118;1;"78.0";"2.0";"1873.21428572"
12515120;2;"50.75";"4.5";"2334.8095238066667"
12515134;3;"76.66666666666667";"2.1666666666666665";"5357.14285715"
12515151;2;"77.0";"2.25";"2678.57142858"
12515161;2;"22.25";"12.25";"1873.21428572"
12515164;1;"64.5";"2.5";"2321.42857143"
12515168;2;"53.25";"2.5";"1873.21428572"
12515177;2;"82.0";"2.0";"2809.83035715"
12515180;2;"47.75";"2.5";"2851.19047618"
12515183;2;"82.75";"2.5";"2321.42857142"
12515211;1;"70.0";"2.0";"1873.22321429"
12515231;1;"59.5";"3.0";"2946.42857143"
12515234;1;"78.5";"3.5";"2678.57142857"
12515242;2;"78.0";"2.0";"2678.57142858"
12515246;1;"89.5";"2.5";"1873.22321429"
12515255;1;"73.5";"6.0";"2678.57142857"
12515256;1;"43.0";"3.0";"1873.21428572"
12515257;2;"72.25";"2.75";"3141.258928563333"
12515258;2;"53.25";"4.75";"1873.21428572"
12515285;1;"34.5";"2.0";"1873.22321429"
12515315;1;"49.5";"15.0";"1873.22321429"
12515320;1;"75.0";"2.0";"2321.42857143"
12515321;2;"50.25";"14.5";"2704.86904762"
12515349;1;"79.5";"2.0";"2321.42857143"
12515372;2;"36.75";"4.0";"1873.21428572"
12515388;2;"49.75";"4.0";"2138.0952381"
12515411;2;"37.5";"7.25";"1873.21428572"
12515417;1;"61.5";"2.0";"2321.42857143"
12515426;2;"39.0";"6.5";"1873.21428572"
12515437;1;"62.0";"3.0";"936.60714286"
12515439;3;"43.0";"2.0";"2181.273809526667"
12515443;1;"85.0";"2.0";"2321.42857143"
12515445;2;"86.75";"2.0";"3261.904761913333"
12515454;2;"82.25";"2.0";"2138.0952381"
12515458;1;"42.5";"5.5";"2321.42857143"
12515468;2;"54.75";"14.25";"2678.57142858"
12515484;2;"69.5";"3.0";"5357.14285714"
12515504;2;"77.5";"2.0";"2678.57142858"
12515527;2;"81.5";"2.25";"2767.85714285"
12515528;2;"32.25";"7.0";"1873.21428572"
12515532;1;"75.0";"2.5";"3181.5476190466666"
12515534;2;"39.25";"3.0";"2678.57142858"
12515537;1;"44.5";"17.5";"2321.42857143"
12515564;2;"49.25";"7.75";"6741.3779762"
12515578;1;"81.0";"2.5";"2321.42857143"
12515580;2;"40.0";"20.25";"1873.21428572"
12515616;2;"88.25";"2.0";"2321.42857142"
12515618;1;"57.0";"2.5";"2809.83035715"
12515619;2;"85.5";"2.75";"2321.42857142"
12515621;2;"69.25";"4.5";"2678.57142858"
12515628;2;"65.5";"2.25";"1873.21428572"
12515645;2;"57.75";"6.25";"1873.21428572"
12515668;1;"74.5";"2.0";"2321.42857143"
12515673;1;"87.0";"2.0";"1873.22321429"
12515677;1;"18.5";"11.5";"1873.22321429"
12515697;1;"45.0";"24.0";"2678.57142857"
12515713;2;"85.75";"2.0";"3473.21428572"
12515716;2;"52.25";"3.75";"2678.57142858"
12515768;2;"58.0";"3.0";"2314.875"
12515769;2;"18.25";"2.5";"1873.21428572"
12515778;2;"21.5";"21.75";"1873.21428572"
12515779;2;"36.25";"15.25";"1873.21428572"
12515799;2;"61.0";"3.75";"1873.21428572"
12515800;1;"33.0";"6.0";"1873.22321429"
12515808;2;"60.75";"2.75";"2138.0952381"
12515809;2;"78.0";"2.0";"2321.42857142"
12515817;2;"81.25";"2.0";"2667.85714286"
12515821;1;"68.0";"3.5";"2678.57142857"
12515822;2;"50.25";"3.25";"2321.42857142"
12515827;2;"60.5";"5.0";"1873.21428572"
12515837;2;"75.5";"2.0";"2678.57142858"
12515845;1;"66.5";"2.5";"2321.42857143"
12515849;1;"74.5";"2.0";"2678.57142857"
12515857;1;"20.0";"2.5";"508.50892857"
12515860;1;"59.0";"2.5";"1873.21428572"
12515863;2;"47.5";"3.5";"1873.21428572"
12515877;2;"69.5";"4.5";"2374.2063493933333"
12515882;2;"68.75";"2.75";"1873.21428572"
12515901;2;"59.75";"16.5";"4017.85714286"
12515905;2;"83.5";"2.0";"2470.2380952299995"
12515918;2;"87.25";"2.0";"2321.42857142"
12515938;2;"77.0";"2.0";"2138.0952381"
12515943;1;"31.5";"20.0";"1873.21428572"
12515949;2;"60.5";"12.0";"2616.071428563333"
12515959;2;"50.25";"3.0";"2678.57142858"
12515965;1;"49.5";"2.5";"1873.22321429"
12515979;1;"36.0";"5.5";"2705.35714287"
12515985;1;"78.0";"2.0";"2321.42857142"
12515991;3;"23.33333333333333";"4.75";"2809.82142858"
12515997;1;"59.0";"2.0";"1339.28571429"
12516007;2;"75.0";"2.5";"2548.8095238133333"
12516009;1;"40.5";"2.0";"1873.22321429"
12516021;2;"37.75";"33.0";"2311.73214286"
12516033;2;"61.25";"4.75";"1873.21428572"
12516035;1;"68.0";"2.5";"2321.42857142"
12516037;3;"48.66666666666666";"30.666666666666668";"2678.57142858"
12516046;2;"81.5";"2.0";"2321.42857142"
12516052;2;"60.5";"2.5";"1873.21428572"
12516065;1;"53.5";"4.0";"1201.48809524"
12516067;2;"26.75";"22.75";"2678.57142858"
12516070;2;"46.0";"6.75";"2678.57142858"
12516071;2;"76.75";"2.0";"2678.5714285800004"
12516117;2;"48.25";"2.0";"2678.57142858"
12516129;3;"50.0";"3.5";"2773.208333333333"
12516142;2;"79.25";"2.5";"1977.791666673333"
12516168;2;"62.5";"3.25";"3360.119047616666"
12516170;2;"34.5";"3.25";"1873.21428572"
12516178;2;"31.5";"2.5";"2678.57142858"
12516185;1;"30.5";"36.0";"1873.21428572"
12516198;2;"67.25";"2.25";"2321.42857142"
12516204;2;"51.5";"2.5";"2321.42857142"
12516211;3;"41.66666666666666";"2.25";"4017.85714287"
12516236;2;"12.25";"29.5";"1592.16964286"
12516237;2;"44.75";"2.0";"2678.57142858"
12516243;2;"69.5";"3.0";"1873.21428572"
12516250;2;"58.0";"2.75";"1873.21428572"
12516269;1;"77.0";"3.0";"2857.1428571400006"
12516271;2;"82.25";"3.0";"2254.035714286667"
12516280;1;"61.5";"3.0";"1873.22321429"
12516285;2;"70.75";"2.0";"2321.42857142"
12516293;2;"18.25";"12.5";"1873.21428572"
12516303;2;"61.75";"21.5";"2321.42857142"
12516305;2;"81.75";"2.0";"2946.42857142"
12516319;2;"57.5";"6.25";"2857.1428571400006"
12516353;2;"10.75";"8.0";"1873.21428572"
12516365;2;"50.5";"2.75";"4519.345238103334"
12516366;2;"57.75";"2.75";"2857.1428571400006"
12516386;1;"86.0";"2.0";"2321.42857142"
12516423;1;"81.5";"2.0";"3392.8571428566665"
12516430;2;"62.0";"2.75";"2402.97619048"
12516457;2;"85.75";"2.0";"2402.97619048"
12516467;2;"78.75";"2.25";"3125.0000000099994"
12516484;1;"69.5";"2.5";"1873.22321429"
12516502;2;"30.75";"6.25";"1873.21428572"
12516506;2;"68.75";"2.75";"3181.5476190566665"
12516510;2;"59.0";"7.75";"1873.21428572"
12516517;1;"90.0";"2.0";"3249.999999990001"
12516525;2;"51.5";"26.25";"2625.5029762"
12516548;2;"81.75";"2.25";"2321.42857142"
12516564;2;"17.75";"2.25";"2380.952380946667"
12516568;2;"40.75";"7.75";"1873.21428572"
12516569;2;"57.0";"2.5";"2809.83035715"
12516584;2;"55.5";"4.0";"2678.57142858"
12516676;2;"44.5";"2.0";"1873.21428572"
