id,parent_id,type,name,tree,path
2218,2212.0,street,ЖАРТАС ОТД.ПОЛИВНОЕ,      ЖАРТАС ОТД.ПОЛИВНОЕ,Карагандинская область > Абайский район > с.Жартас (Карагандинский с.о.) > ЖАРТАС ОТД.ПОЛИВНОЕ
2219,2212.0,street,ЖАРТАС ОТД.ЖАЙМА,      ЖАРТАС ОТД.ЖАЙМА,Карагандинская область > Абайский район > с.Жартас (Карагандинский с.о.) > ЖАРТАС ОТД.ЖАЙМА
2220,2212.0,street,ЖАРТАС ОТД.ЯГОДНОЕ,      ЖАРТАС ОТД.ЯГОДНОЕ,Карагандинская область > Абайский район > с.Жартас (Карагандинский с.о.) > ЖАРТАС ОТД.ЯГОДНОЕ
2221,2212.0,street,СОВЕТСКАЯ,      СОВЕТСКАЯ,Карагандинская область > Абайский район > с.Жартас (Карагандинский с.о.) > СОВЕТСКАЯ
2222,2212.0,street,"АБАЙ,С.ЖАРТАС","      АБАЙ,С.ЖАРТАС","Карагандинская область > Абайский район > с.Жартас (Карагандинский с.о.) > АБАЙ,С.ЖАРТАС"
2223,2212.0,street,КОМСОМОЛЬСКАЯ,      КОМСОМОЛЬСКАЯ,Карагандинская область > Абайский район > с.Жартас (Карагандинский с.о.) > КОМСОМОЛЬСКАЯ
2224,2212.0,street,с.Жартас ул.СОВЕТСКАЯ,      с.Жартас ул.СОВЕТСКАЯ,Карагандинская область > Абайский район > с.Жартас (Карагандинский с.о.) > с.Жартас ул.СОВЕТСКАЯ
2225,2212.0,street,ЖАРТАС ОТД.КАРАГОГА,      ЖАРТАС ОТД.КАРАГОГА,Карагандинская область > Абайский район > с.Жартас (Карагандинский с.о.) > ЖАРТАС ОТД.КАРАГОГА
2226,2212.0,street,ЖАРТАС УЛ.ЛЕНИНА,      ЖАРТАС УЛ.ЛЕНИНА,Карагандинская область > Абайский район > с.Жартас (Карагандинский с.о.) > ЖАРТАС УЛ.ЛЕНИНА
2227,2212.0,street,Сакен Сейфуллина,      Сакен Сейфуллина,Карагандинская область > Абайский район > с.Жартас (Карагандинский с.о.) > Сакен Сейфуллина
2228,2212.0,street,Жастар,      Жастар,Карагандинская область > Абайский район > с.Жартас (Карагандинский с.о.) > Жастар
2229,2212.0,street,Казакстана,      Казакстана,Карагандинская область > Абайский район > с.Жартас (Карагандинский с.о.) > Казакстана
2230,2212.0,street,Кунгей,      Кунгей,Карагандинская область > Абайский район > с.Жартас (Карагандинский с.о.) > Кунгей
2231,1999.0,town,с.Жайма,    с.Жайма,Карагандинская область > Абайский район > с.Жайма
2232,1999.0,town,с.Восход,    с.Восход,Карагандинская область > Абайский район > с.Восход
2233,2232.0,street,51 ЛЕНИНА,      51 ЛЕНИНА,Карагандинская область > Абайский район > с.Восход > 51 ЛЕНИНА
2234,2232.0,street,ЖАРТАС ОТД.ВОСХОД,      ЖАРТАС ОТД.ВОСХОД,Карагандинская область > Абайский район > с.Восход > ЖАРТАС ОТД.ВОСХОД
2235,1999.0,town,с.Алматинка,    с.Алматинка,Карагандинская область > Абайский район > с.Алматинка
2236,1999.0,town,с.Каракога,    с.Каракога,Карагандинская область > Абайский район > с.Каракога
